symbol,globalScore,maxClinicalTrialPhase,chembl
FAT4,0.3123515357177864,,
CTNND2,0.3104938430246465,,
POLD1,0.3102324720399029,1.0,0.1654922726831635
BUB1B,0.3093822910227156,,
RPL5,0.3087609178951918,1.0,
NFKBIE,0.3082046100719247,,
ERBB3,0.3063476445701059,1.0,0.1519826994029052
YAP1,0.3058630681589246,,
HOXA11,0.3044317299228142,,
MYC,0.3044075258060912,,
RPA1,0.3041297070533082,,
SOX2,0.3035082131232046,,
PPP2R1A,0.303242472278426,,
CCNE1,0.3031227620218817,,
KIT,0.3031125015881544,1.0,0.1215861595223242
CHRNA4,0.3028321831075618,1.0,
FGFR4,0.3026482527861522,1.0,0.0759913497014526
BTK,0.3026076134760105,1.0,
KLF4,0.3025368582685592,,
SRC,0.3025321682013127,1.0,
GOPC,0.3024414649773251,,
TOP2A,0.3021336405963102,1.0,0.4475046149085543
MSH2,0.3019561383370749,,
CCND2,0.3017147188133408,,
NFE2L2,0.3016375003402114,1.0,
RAC1,0.3015013760805978,,
MEN1,0.3014832809221197,1.0,
CASP8,0.3012865215412125,0.5,
PRDM16,0.3012763642361225,,
FOXA1,0.301274080929769,,
HMGA2,0.3010506965224314,,
PER1,0.3008670425554353,,
CXCR4,0.3008080687110526,1.0,
CRLF2,0.3006121473577066,,
MAPK1,0.3004009088870111,0.5,
HNF1A,0.3003634062904368,,
PHF6,0.3002836319313202,,
ABL1,0.3001684086967959,1.0,0.1215861595223242
TGFBR2,0.3001641822698694,,
IL7R,0.2998317862526221,,
CCND3,0.2995711113184153,,
JAK1,0.2992059486792029,1.0,
LEF1,0.2991756811036336,,
IRF4,0.2987284673340678,,
WT1,0.2986816140289446,0.75,
ACTR2,0.2983953947372186,,
CDKN2C,0.2972754800498994,,
CMTR2,0.2970825440524826,,
HOXA13,0.2969794563854236,,
SPOP,0.2968896533532957,,
HNRNPA2B1,0.2968711107229867,,
SRSF2,0.296676737871739,,
CSMD3,0.2965641631155048,,
EPHA7,0.2965108496871604,1.0,
CCND1,0.2963012160668182,1.0,
CSF3R,0.2962955939843419,1.0,0.1215861595223242
ATF1,0.296228519636863,,
HOXC11,0.2960668284504384,,
SUZ12,0.2960354141627903,,
FSTL3,0.2960354141627903,,
STIL,0.2956347458122227,,
STAT3,0.2954782943957362,0.5,
NFKB2,0.2952269582306674,0.75,
RSPO2,0.2951344061327043,,
CDK4,0.2945645103168395,1.0,
PTK6,0.2942639836508492,1.0,
RNF43,0.2940193819822839,,
PPARG,0.2929538812762661,1.0,
POU5F1,0.2927790099611578,,
RARA,0.2918759180819665,1.0,
RHOA,0.2916949661513239,,
LATS2,0.2916653171777222,,
BCL2,0.2909531152015103,1.0,
WIF1,0.2907920186129603,,
FOXP1,0.2907365171800048,,
TSC2,0.2907354451312558,,
PATZ1,0.2906232251741451,,
XPO1,0.2905105898864241,1.0,
ERCC2,0.290471361989527,,
TAL1,0.2904346367871851,,
EPAS1,0.2899953269175079,1.0,
FAM53B,0.2898448151419995,,
CDX2,0.2893864503807691,,
RAF1,0.2893749568407169,1.0,
ZBTB16,0.2892380505023538,,
ERG,0.2889701919406168,,
CBFA2T3,0.2887498137954616,,
HOXD13,0.2887344263165377,,
